"","h","Agg","nc_yield","mpa_yield","nc_prop_msy","mpa_prop_msy"
"272",0.22,1.3,1880.51931790713,13732.3691147834,0.0705391315759448,0.615380523205188
"273",0.23,0.5,0.0444846903153502,5238.05096711668,3.21384738136964e-06,0.430160728724545
"274",0.23,1.4,2080.1405001509,14242.2151137133,0.076198239839643,0.62297500953547
"275",0.23,1.5,3664.35528966499,15626.3453410484,0.131294389367749,0.670624739615595
"276",0.23,1.6,5689.32752641958,17039.0260149453,0.2003678396325,0.718608121576277
"277",0.23,1.7,8084.85750823307,18404.8095993458,0.28000938900814,0.76523900046472
"278",0.23,1.8,10787.17189,19642.30589,0.368823123624299,0.805948508921521
"279",0.23,1.9,13692.5165698043,20706.5133197692,0.462238674701043,0.84071979794457
"280",0.23,2,16532.8386229689,21601.8543419032,0.552161262644755,0.867821774518378
"281",0.23,-1,32621.318807119,27405.7830125807,0.98358255272022,0.999104055276964
"282",0.23,0.6,0.180977146040207,6393.06203615938,1.07275959563809e-05,0.439822427653137
"283",0.23,0.7,0.712376345228822,7334.62183385528,3.70935228986336e-05,0.446289964015634
"284",0.23,0.8,2.76735552601015,8172.38541982871,0.000131500230447698,0.455649713871978
"285",0.23,0.9,10.8551555751705,8974.3581004346,0.00048020032679929,0.468723697660814
"286",0.23,1,41.7340386891929,9798.78588051259,0.00174486990848002,0.485687568531889
"287",0.23,1.1,142.462540922493,10704.9637663512,0.00570343061197082,0.509102837326568
"288",0.23,1.2,411.033214831659,11744.0382480822,0.0159135280038654,0.540470005247563
"289",0.23,1.3,1005.21294627618,12933.1976383744,0.0377059930222532,0.579567725196882
"290",0.24,0.5,0.0208903020682509,5230.71502306188,1.50924378976517e-06,0.429558284216024
"291",0.24,1.4,1147.3116626968,13431.0510446874,0.0420275117179096,0.587493524415247
"292",0.24,1.5,2222.06143425849,14660.6641673327,0.0796167882441513,0.629181288089307
"293",0.24,1.6,3732.37375798213,15946.4277169441,0.131447462483946,0.67252860917484
"294",0.24,1.7,5616.67407533276,17249.7283052555,0.194526802048179,0.71721279024103
"295",0.24,1.8,7817.470944,18507.8277,0.267286373278351,0.759399442291825
"296",0.24,1.9,10284.0801528588,19655.1531385889,0.347175010243182,0.798032779351006
"297",0.24,2,12956.9113781072,20653.5449021014,0.432732981290488,0.829724879325221
"298",0.24,-1,32327.0294876066,27345.1650465305,0.974709280556216,0.996894169295031
"299",0.24,0.6,0.0835477267686135,6371.53632463043,4.95237258105878e-06,0.438341526850349
"300",0.24,0.7,0.32374628632697,7290.86021839277,1.68575084864162e-05,0.443627199631535
"301",0.24,0.8,1.22720020430174,8096.26901380897,5.83145563171667e-05,0.45140585888446
"302",0.24,0.9,4.63677972398348,8850.05091467355,0.000205117570479243,0.462231230667224
"303",0.24,1,17.5905584933679,9600.34336717579,0.000735448500851256,0.475851547725721
"304",0.24,1.1,62.7978505603109,10394.8720903957,0.00251408672716644,0.494355608330192
"305",0.24,1.2,193.61665006221,11281.3064287977,0.00749604623568312,0.519174717926973
"306",0.24,1.3,508.550324260318,12293.5092967451,0.0190759530595577,0.550901750442656
"307",0.25,0.5,0.0098260536010624,5224.3721764003,7.09894492039997e-07,0.429037395137383
